Package,Version
cubature,1.3-11
curl,3.2
cvAUC,1.1.0
CVST,0.2-2
cvTools,0.3.2
DAAG,1.22
data.table,1.11.4
data.tree,0.7.5
date,1.2-38
DBI,1.0.0
dbplyr,1.2.1
ddalpha,1.3.3
debugme,1.1.0
decon,1.2-4
deldir,0.1-15
dendextend,1.8.0
DEoptim,2.2-4
DEoptimR,1.0-8
Deriv,3.8.4
desc,1.2.0
deSolve,1.21
devtools,1.13.5
dfoptim,2018.2-1
DiagrammeR,1.0.0
dichromat,2.0-0
digest,0.6.15
dimRed,0.1.0
diptest,0.75-7
dirmult,0.1.3-4
dispmod,1.2
distillery,1.0-4
distr,2.6.2
distrEx,2.6.1
dlm,1.1-4
doBy,4.6-1
DoE.base,0.32
doFuture,0.6.0
doMC,1.3.5
doMPI,0.2.2
doParallel,1.0.11
doRedis,1.1.1
doRNG,1.6.6
doSNOW,1.0.16
dotCall64,0.9-5.2
downloader,0.4
dplR,1.6.8
dplyr,0.7.5
dr,3.0.10
DRR,0.0.3
DT,0.4
dtw,1.20-1
dummies,1.5.6
dynlm,0.3-5
e1071,1.6-8
earth,4.6.3
Ecdat,0.3-1
Ecfun,0.1-7
ecodist,2.0.1
effects,4.0-1
eha,2.5.1
elasticnet,1.1
ElemStatLearn,2015.6.26
ellipse,0.4.1
emdbook,1.3.10
emulator,1.2-17
energy,1.7-4
entropy,1.2.1
Epi,2.30
ergm,3.8.0
estimability,1.3
etm,0.6-2
evaluate,0.10.1
evd,2.3-3
expint,0.1-4
expm,0.999-2
expsmooth,2.3
extRemes,2.0-8
FactoMineR,1.41
fail,1.3
faraway,1.0.7
fastcluster,1.1.24
fastICA,1.2-1
fastmatch,1.1-0
fBasics,3042.89
fda,2.4.7
fdrtool,1.2.15
feather,0.3.1
ff,2.2-14
ffbase,0.12.3
fftw,1.0-4
fGarch,3042.83
fields,9.6
FieldSim,3.2.1
filehash,2.4-1
fitdistrplus,1.0-9
flashClust,1.01-2
flexclust,1.3-5
flexdashboard,0.5.1
flexmix,2.3-14
fma,2.3
fmri,1.7-2
FNN,1.1
forcats,0.3.0
foreach,1.4.4
forecast,8.3
formatR,1.5
Formula,1.2-3
forward,1.0.3
fpc,2.1-11
fpp,0.5
fracdiff,1.4-2
fractaldim,0.8-4
fs,1.2.6
fts,0.9.9
functional,0.6
futile.logger,1.4.3
futile.options,1.0.1
future,1.10.0
future.apply,0.2.0
future.batchtools,0.7.1
gam,1.15
gamboostLSS,2.0-0
gamlss,5.0-8
gamlss.data,5.0-1
gamlss.dist,5.0-5
gamm4,0.2-5
gbm,2.1.3
gclus,1.3.1
gdata,2.18.0
gee,4.13-19
geepack,1.2-1
GeneCycle,1.1.2
GeneNet,1.2.13
genlasso,1.3
geometry,0.3-6
geoR,1.7-5.2
geoRglm,0.9-11
geosphere,1.5-7
getopt,1.20.2
GGally,1.4.0
ggdendro,0.1-20
ggformula,0.7.0
ggm,2.3
ggmap,2.6.1
ggplot2,2.2.1
ggridges,0.5.0
ggvis,0.4.3
git2r,0.21.0
glmnet,2.0-16
globals,0.12.4
glue,1.2.0
gmm,1.6-2
gmodels,2.16.2
gmp,0.5-13.1
goftest,1.1-1
googlesheets,0.2.2
googleVis,0.6.2
gower,0.1.2
GPArotation,2014.11-1
gpclib,1.5-5
gplots,3.0.1
gridBase,0.4-7
gridExtra,2.3
grplasso,0.4-5
grpreg,3.1-3
gsl,1.9-10.3
gss,2.1-9
gstat,1.1-6
gsubfn,0.7
gtable,0.2.0
gtools,3.5.0
gWidgets,0.0-54
haven,1.1.1
hdf5r,1.0.0
hexbin,1.27.2
highlight,0.4.7.2
highr,0.6
Hmisc,4.1-1
HMM,1.0
hms,0.4.2
HSAUR,1.3-9
htmlTable,1.12
htmltools,0.3.6
htmlwidgets,1.2
httpuv,1.4.3
httr,1.3.1
huge,1.2.7
hwriter,1.3.2
ica,1.0-2
ICS,1.3-1
ICSNP,1.1-1
IDPmisc,1.1.17
ifultools,2.0-4
igraph,1.2.1
igraphdata,1.0.1
ineq,0.2-13
influenceR,0.1.0
infotheo,1.2.0
inline,0.3.15
intervals,0.15.1
ipred,0.9-6
IRdisplay,0.5.0
iRF,2.0.0
irlba,2.3.2
isa2,0.3.5
ismev,1.42
Iso,0.0-17
ISwR,2.0-7
iterators,1.0.9
itertools,0.1-3
JavaGD,0.6-1
JGR,1.8-4
jomo,2.6-2
jpeg,0.1-8
jsonlite,1.5
Kendall,2.2
keras,2.1.6
kernlab,0.9-26
KFAS,1.3.2
kinship2,1.6.4
klaR,0.6-14
KMsurv,0.1-5
knitr,1.20
knockoff,0.3.0
ks,1.11.1
kza,4.0.0
l2boost,1.0.1
labeling,0.3
labelled,1.1.0
laeken,0.4.6
LaF,0.8.0
lambda.r,1.2.3
lars,1.2
lasso2,1.2-19
latentnet,2.8.0
later,0.7.2
latex2exp,0.4.0
latticeExtra,0.6-28
lava,1.6.1
lavaan,0.6-1
lazyeval,0.2.1
leaflet,2.0.0
leaps,3.0
LearnBayes,2.15.1
lhs,0.16
LiblineaR,2.10-8
listenv,0.7.0
lme4,1.1-17
Lmoments,1.2-3
lmtest,0.9-36
loa,0.2.43.3
locfdr,1.1-8
locfit,1.5-9.1
locpol,0.7-0
logcondens,2.1.5
LogicReg,1.5.9
logspline,2.1.9
lokern,1.1-8
longitudinal,1.1.12
longmemo,1.0-0
LowRankQP,1.0.3
lpSolve,5.6.13
lqa,1.0-3
lubridate,1.7.4
magic,1.5-8
magrittr,1.5
mail,1.0
manipulate,1.0.1
manipulateWidget,0.9.0
mapdata,2.3.0
mapproj,1.2.6
maps,3.3.0
maptools,0.9-2
markdown,0.8
MASS,7.3-50
Matching,4.9-3
MatchIt,3.0.2
matconv,0.3.2
Matrix,1.2-14
matrixcalc,1.0-3
MatrixModels,0.4-1
matrixStats,0.53.1
maxLik,1.3-4
MBCluster.Seq,1.0
MBESS,4.4.3
mboost,2.8-1
mc2d,0.1-18
mclust,5.4
mcmc,0.9-5
MCMCpack,1.4-3
MCPAN,1.1-21
mda,0.4-10
memoise,1.1.0
MEMSS,0.9-2
metafor,2.0-0
metap,0.9
mi,1.0
mice,3.0.0
microbenchmark,1.4-4
mime,0.5
miniUI,0.1.1.1
minqa,1.2.4
misc3d,0.8-4
miscTools,0.6-22
missMDA,1.12
mitml,0.3-5
mitools,2.3
mix,1.0-10
mixtools,1.1.0
mlbench,2.1-1
mlmRev,1.0-6
mlogit,0.3-0
MM,1.6-5
mmand,1.5.3
mnormt,1.5-5
modeest,2.1
ModelMetrics,1.1.0
modelr,0.1.2
modeltools,0.2-21
moments,0.14
mondate,0.10.01.02
mosaic,1.2.0
mosaicCore,0.5.0
mosaicData,0.16.0
MPV,1.38
MSBVAR,0.9-3
msm,1.6.6
mstate,0.2.11
multcomp,1.4-8
multicool,0.1-10
munsell,0.4.3
mvtnorm,1.0-7
NADA,1.6-1
ncdf4,1.16
ncvreg,3.10-0
network,1.13.0.1
neuralnet,1.33
nimble,0.6-12
nleqslv,3.3.2
nloptr,1.0.4
NLP,0.1-11
NMF,0.21.0
nnls,1.4
nor1mix,1.2-3
nortest,1.0-4
np,0.60-7
numbers,0.7-1
numDeriv,2016.8-1
nws,1.7.0.1
Oarray,1.4-9
OpenMx,2.9.9
openssl,1.0.1
openxlsx,4.1.0
optextras,2016-8.8
optimx,2013.8.7
optparse,1.4.4
ore,1.6.1
oro.nifti,0.9.1
orthogonalsplinebasis,0.1.6
oz,1.0-21
packrat,0.4.9-2
pamr,1.55
pan,1.4
parmigene,1.0.2
parsedate,1.1.3
partitions,1.9-19
partools,1.1.6
party,1.3-0
pastecs,1.3.21
pbapply,1.3-4
pbdBASE,0.4-5.1
pbdDEMO,0.3-1
pbdDMAT,0.4-2
pbdMPI,0.3-6
pbdNCDF4,0.1-4
pbdPROF,0.3-1
pbdSLAP,0.2-4
pbdZMQ,0.3-3
pbivnorm,0.6.0
pbkrtest,0.4-7
PBSmapping,2.70.4
pcaPP,1.9-73
pdist,1.2
penalized,0.9-50
perm,1.0-0.0
permute,0.9-4
perturb,2.05
pillar,1.2.3
pixmap,0.4-11
pkgconfig,2.0.1
pkgmaker,0.27
PKPDmodels,0.3.2
plm,1.6-6
plogr,0.2.0
plotly,4.7.1
plotmo,3.3.7
plotrix,3.7-3
pls,2.6-0
plus,1.0
plyr,1.8.4
pmml,1.5.4
png,0.1-7
PoissonSeq,1.1.2
polspline,1.1.12
polyclip,1.8-7
polycor,0.7-9
polynom,1.3-9
PolynomF,1.0-2
ppls,1.6-1
prabclus,2.2-6
pracma,2.1.4
praise,1.0.0
prettyunits,1.0.2
prim,1.0.16
princurve,1.1-12
printr,0.1
pROC,1.12.1
processx,3.1.0
prodlim,2018.04.18
prof.tree,0.1.0
profileModel,0.5-9
proftools,0.99-2
progress,1.1.2
promises,1.0.1
proto,1.0.0
proxy,0.4-22
pryr,0.1.4
pscl,1.5.2
psych,1.8.4
purrr,0.2.5
qap,0.1-1
quadprog,1.5-5
quantmod,0.4-13
quantreg,5.36
questionr,0.6.2
qvcalc,0.9-1
R.cache,0.13.0
R.devices,2.15.1
R.filesets,2.12.1
R.huge,0.9.0
R.matlab,3.6.1
R.methodsS3,1.7.1
R.oo,1.22.0
R.rsp,0.42.0
R.utils,2.6.0
R2HTML,2.3.2
R2jags,0.5-7
R2SWF,0.9-2
R2WinBUGS,2.1-21
R6,2.2.2
RandomFields,3.1.50
RandomFieldsUtils,0.3.25
randomForest,4.6-14
ranger,0.10.0
RANN,2.5.1
rappdirs,0.3.1
RArcInfo,0.4-12
rARPACK,0.11-0
raster,2.6-7
rasterVis,0.44
rbenchmark,1.0.0
rbounds,2.1
Rcgmin,2013-2.21
rcmdcheck,1.2.1
Rcmdr,2.4-4
RcmdrMisc,1.0-10
RColorBrewer,1.1-2
Rcpp,1.0.0
RcppArmadillo,0.8.500.0
RcppEigen,0.3.3.4.0
RcppProgress,0.4.1
RcppRoll,0.2.2
Rcsdp,0.1.55
RCurl,1.95-4.10
Rdsdp,1.0.4-2
readr,1.1.1
readstata13,0.9.2
readxl,1.1.0
recipes,0.1.2
registry,0.5
regtools,1.0.1
relimp,1.0-5
rematch,1.0.1
reportr,1.2.2
repr,0.15.0
reprex,0.1.2
reshape,0.8.7
reshape2,1.4.3
reticulate,1.7
rgdal,1.2-20
rgenoud,5.8-2.0
rgeos,0.3-26
rgexf,0.15.3
rgl,0.98.1
Rglpk,0.6-2
RgoogleMaps,1.4.1
RGraphics,2.0-14
RH2,0.2.4
RhpcBLASctl,0.18-12
rhub,1.0.2
rio,0.5.10
RItools,0.1-15
rjags,4-6
rJava,0.9-10
RJDBC,0.2-7.1
rjson,0.2.19
RJSONIO,1.3-0
Rlab,2.15.1
rlang,0.2.0
rlecuyer,0.3-4
Rmalschains,0.2-4
rmarkdown,1.9
rmeta,3.0
Rmpfr,0.7-0
Rmpi,0.6-7
RMTstat,0.3
rmutil,1.1.1
RMySQL,0.10.15
rngtools,1.3.1
RNifti,0.7.1
ROAuth,0.9.6
robCompositions,2.0.8
robfilter,4.1.1
robustbase,0.93-0
ROCR,1.0-7
RODBC,1.3-15
Rook,1.1-1
roxygen2,6.0.1
rpf,0.59
RPMG,2.2-2
RPostgreSQL,0.6-2
rprojroot,1.3-2
rrcov,1.4-4
rredis,1.7.0
RSEIS,3.7-8
Rsolnp,1.16
RSpectra,0.13-1
RSQLite,2.1.1
rstan,2.17.4
rstudioapi,0.7
RSVGTipsDevice,1.0-7
Rsymphony,0.1-26
Rtsne,0.13
RUnit,0.4.32
rv,2.3.2
rversions,1.0.3
rvest,0.3.2
Rvmmin,2018-4.17
Rwave,2.4-8
rworldmap,1.3-6
rworldxtra,1.01
Ryacas,0.3-1
rzmq,0.9.3
sampleSelection,1.2-0
sandwich,2.4-0
scales,0.5.0
scatterplot3d,0.3-41
SciViews,0.9-13
sde,2.0.15
SDMTools,1.1-221
segmented,0.5-3.0
selectr,0.4-1
sem,3.1-9
SemiPar,1.0-4.2
semTools,0.4-14
sendmailR,1.2-1
seriation,1.2-3
setRNG,2013.9-1
sets,1.0-18
Seurat,2.3.4
sf,0.7-1
sfsmisc,1.1-2
SGL,1.1
shapefiles,0.7
shapes,1.2.3
shiny,1.1.0
shinydashboard,0.7.0
shinyjs,1.0
signal,0.7-6
Sim.DiffProc,4.0
SIS,0.8-6
slam,0.1-43
sm,2.2-5.5
sna,2.4
snow,0.4-2
SnowballC,0.5.1
snowfall,1.84-6.1
snowFT,1.6-0
som,0.3-5.1
sourcetools,0.1.7
sp,1.2-7
spacetime,1.2-1
spam,2.1-4
sparcl,1.0.3
SparseM,1.77
spate,1.5
spatialkernel,0.4-23
spatstat,1.55-1
spatstat.data,1.2-0
spatstat.utils,1.8-0
spData,0.2.8.3
spdep,0.7-7
spectralGP,1.3.3
splancs,2.01-40
spls,2.2-2
splus2R,1.2-2
sqldf,0.4-11
SQUAREM,2017.10-1
sROC,0.1-2
stabledist,0.7-1
stabs,0.6-3
StanHeaders,2.17.2
startupmsg,0.9.4
statmod,1.4.30
statnet.common,4.0.0
stepPlr,0.93
stringi,1.2.2
stringr,1.3.1
strucchange,1.5-1
SuperLearner,2.0-23
SuppDists,1.1-9.4
survey,3.33-2
survival,2.42-3
svcm,0.1.2
svd,0.4.1
svUnit,0.7-12
SweaveListingUtils,0.7.7
swirl,2.4.3
synchronicity,1.3.4
Synth,1.1-5
sysfonts,0.7.2
systemfit,1.1-22
tcltk2,1.2-11
TeachingDemos,2.10
tensor,1.5
tensorA,0.36
tensorflow,1.5
testit,0.7
testthat,2.0.0
tfruns,1.3
TH.data,1.0-8
tibble,1.4.2
tidyr,0.8.1
tidyselect,0.2.4
tidyverse,1.2.1
timeDate,3043.102
timeSeries,3042.102
timsac,1.3.6
tinytex,0.5
tis,1.34
tkrplot,0.0-23
tm,0.7-3
tmle,1.3.0-1
tmvtnorm,1.4-10
tourr,0.5.5
tree,1.0-39
trimcluster,0.1-2
tripack,1.3-8
truncnorm,1.0-8
truncreg,0.2-4
trust,0.1-7
TSA,1.01
tseries,0.10-44
tsne,0.1-3
TSP,1.1-6
TTR,0.23-3
tuneR,1.3.2
tvd,0.1.0
twitteR,1.1.9
ucminf,1.1-4
units,0.6-1
urca,1.3-0
uroot,2.0-9
utf8,1.1.4
uuid,0.1-2
vcd,1.4-4
vegan,2.5-2
VennDiagram,1.6.20
VGAM,1.0-5
VGAMdata,1.0-3
VIM,4.7.0
viridis,0.5.1
viridisLite,0.3.0
visNetwork,2.0.3
wavelets,0.3-0
waveslim,1.7.5
wavethresh,4.6.8
whisker,0.3-2
whoami,1.1.2
withr,2.1.2
wmtsa,2.0-3
xfun,0.1
xgboost,0.71.1
XLConnect,0.2-15
XLConnectJars,0.2-15
xlsx,0.5.7
xlsxjars,0.6.1
XML,3.98-1.11
xml2,1.2.0
xtable,1.8-2
xts,0.10-2
yaml,2.1.19
zCompositions,1.1.1
zeallot,0.1.0
Zelig,5.1.6
zip,1.0.0
zoo,1.8-1
