Package,Version
calibrate,1.7.7
calibrator,1.2-8
callr,3.7.0
car,3.0-13
carData,3.0-5
care,1.1.11
caret,6.0-92
catdata,1.2.2
caTools,1.18.2
catspec,0.97
cba,0.2-21
CBPS,0.23
cccd,1.6
cellranger,1.1.0
cem,1.1.29
checkmate,2.1.0
checkpoint,1.0.2
checkr,0.5.0
chemometrics,1.4.2
chron,2.3-56
circlize,0.4.14
CircStats,0.2-6
class,7.3-20
classInt,0.4-3
cli,3.3.0
climextRemes,0.2.2
clipr,0.8.0
clisymbols,1.2.0
clubSandwich,0.5.6
clue,0.3-60
cluster,2.1.3
clusterGeneration,1.3.7
ClusterR,1.2.6
clusterSEs,2.6.5
cmprsk,2.2-11
coda,0.19-4
coin,1.4-2
collapse,1.7.6
colorspace,2.0-3
colourpicker,1.1.1
colourvalues,0.3.7
combinat,0.0-8
commonmark,1.8.0
compositions,2.0-4
CompQuadForm,1.4.3
concaveman,1.1.0
coneproj,1.16
conf.design,2.0.0
config,0.3.1
conflicted,1.1.0
conquer,1.3.0
coRanking,0.2.3
corpcor,1.6.10
corrplot,0.92
corrr,0.4.3
covr,3.5.1
cowplot,1.1.1
coxme,2.2-16
cpp11,0.4.2
crayon,1.5.1
credentials,1.3.2
crosstalk,1.2.0
crossval,1.0.4
crul,1.2.0
cshapes,2.0
csvy,0.3.0
cubature,2.0.4.4
Cubist,0.4.0
curl,4.3.2
curry,0.1.1
cvAUC,1.1.4
CVST,0.2-3
cvTools,0.3.2
cyclocomp,1.1.0
Cyclops,3.1.2
DAAG,1.24
data.table,1.14.2
data.tree,1.0.0
DatabaseConnector,5.0.2
DatabaseConnectorJars,1.1.0
datawizard,0.4.0
date,1.2-39
dbarts,0.9-22
DBI,1.1.2
DBItest,1.7.2
dbplyr,2.1.1
dcurver,0.9.2
ddalpha,1.3.13
debugme,1.1.0
decon,1.3-4
deldir,1.0-6
dendextend,1.15.2
DendSer,1.0.2
DEoptim,2.2-6
DEoptimR,1.0-11
Deriv,4.1.3
desc,1.4.1
DescTools,0.99.44
deSolve,1.32
devtools,2.4.3
dfidx,0.0-4
dfoptim,2020.10-1
diagis,0.2.2
DiagrammeR,1.0.9
DiagrammeRsvg,0.1
dials,0.1.1
DiceDesign,1.9
dichromat,2.0-0.1
diffobj,0.3.5
diffusionMap,1.2.0
digest,0.6.29
dimRed,0.2.5
diptest,0.76-0
dirmult,0.1.3-5
disordR,0.0-9
dispmod,1.2
disposables,1.0.3
distillery,1.2-1
distr,2.8.0
distrEx,2.8.0
distributional,0.3.0
DistributionUtils,0.6-0
diveMove,1.6.0
dlm,1.1-5
doBy,4.6.13
DoE.base,1.2-1
doFuture,0.12.2
doMC,1.3.8
doMPI,0.2.2
doParallel,1.0.17
doRNG,1.8.2
DoseFinding,1.0-2
doSNOW,1.0.20
dotCall64,1.0-1
downlit,0.4.0
downloader,0.4
dplyr,1.0.9
dqrng,0.3.0
dr,3.0.10
drat,0.2.3
DRR,0.0.4
DT,0.22
dtplyr,1.2.1
dtw,1.22-3
dygraphs,1.1.1.6
dynamicTreeCut,1.63-1
dynlm,0.3-6
e1071,1.7-9
earth,5.3.1
Ecdat,0.3-9
Ecfun,0.2-5
ecodist,2.0.9
effects,4.2-1
egg,0.4.5
eha,2.10.0
elasticnet,1.3
ellipse,0.4.2
ellipsis,0.3.2
emdbook,1.3.12
emmeans,1.7.3
emulator,1.2-21
energy,1.7-10
entropy,1.3.1
Epi,2.46
ergm,4.1.2
ergm.count,4.0.2
ergm.userterms,3.10.0
err,0.2.0
estimability,1.3
etm,1.1.1
etrunct,0.1
evaluate,0.15
evd,2.3-6
Exact,3.1
exams,2.3-6
expint,0.1-7
expm,0.999-6
expsmooth,2.3
extraTrees,1.0.5
extRemes,2.1-2
FactoInvestigate,1.8
FactoMineR,2.4
Factoshiny,2.4
fail,1.3
fansi,1.0.3
faraway,1.0.7
farver,2.1.0
fastcluster,1.2.3
fastDummies,1.6.3
fastICA,1.2-3
fastmap,1.1.0
fastmatch,1.1-3
fBasics,3042.89.1
FD,1.0-12.1
fda,6.0.3
fdrtool,1.2.17
fds,1.8
feather,0.3.5
ff,4.0.7
fftw,1.0-7
fGarch,3042.83.2
fields,13.3
FieldSim,3.2.1
filehash,2.4-3
filelock,1.0.2
fit.models,0.64
fitdistrplus,1.1-8
flashClust,1.01-2
flexclust,1.4-1
flexdashboard,0.5.2
flexmix,2.3-17
flextable,0.7.0
float,0.3-0
fma,2.4
FME,1.3.6.2
fmri,1.9.6
FMStable,0.1-2
FNN,1.1.3
foghorn,1.4.2
fontawesome,0.2.2
fontBitstreamVera,0.1.1
fontLiberation,0.1.0
fontquiver,0.2.1
forcats,0.5.1
foreach,1.5.2
forecast,8.16
foreign,0.8-82
forge,0.2.0
formatR,1.12
formattable,0.2.1
Formula,1.2-4
fortunes,1.5-4
forward,1.0.6
fpc,2.2-9
fpp,0.5
fracdiff,1.5-1
fractaldim,0.8-5
fs,1.5.2
fst,0.9.8
fstcore,0.9.12
fTrading,3042.79
fts,0.9.9.2
functional,0.6
furrr,0.3.0
futile.logger,1.4.3
futile.options,1.0.1
future,1.25.0
future.apply,1.9.0
future.batchtools,0.10.0
GA,3.2.2
gam,1.20.1
gamlss,5.4-3
gamlss.data,6.0-2
gamlss.dist,6.0-3
gamm4,0.2-6
gargle,1.2.0
gbm,2.1.8
gbRd,0.4-11
gclus,1.3.2
gdata,2.18.0
gdtools,0.2.4
gee,4.13-22
geepack,1.3.3
GeneCycle,1.1.5
GeneNet,1.2.16
GeneralizedHyperbolic,0.8-4
generics,0.1.2
genlasso,1.5
GenSA,1.1.7
geojson,0.3.4
geojsonio,0.9.4
geojsonlint,0.4.0
geojsonsf,2.0.2
geometries,0.2.0
geometry,0.4.6
geonames,0.999
geosphere,1.5-14
gert,1.6.0
getopt,1.20.3
getPass,0.2-2
GGally,2.1.2
gganimate,1.0.7
ggdendro,0.1.23
ggforce,0.3.3
ggformula,0.10.1
ggfortify,0.4.14
ggmap,3.0.0
ggnetwork,0.5.10
ggplot2,3.3.6
ggplot2movies,0.0.1
ggraph,2.0.5
ggrepel,0.9.1
ggridges,0.5.3
ggstance,0.3.5
ggthemes,4.2.4
ggvis,0.4.7
gh,1.3.0
git2r,0.30.1
gitcreds,0.1.1
gld,2.6.4
GLMMadaptive,0.8-5
glmnet,4.1-4
glmnetUtils,1.1.8
GlobalOptions,0.1.2
globals,0.15.0
glue,1.6.2
gmailr,1.0.1
gmm,1.6-6
gmodels,2.18.1
gmp,0.6-5
gnm,1.1-2
goftest,1.2-3
googledrive,2.0.0
googlePolylines,0.8.2
googlesheets4,1.0.0
googleVis,0.6.12
gower,1.0.0
GPArotation,2022.4-1
gpclib,1.5-6
GPfit,1.0-8
gplots,3.1.3
graphlayouts,0.8.0
gridBase,0.4-7
gridExtra,2.3
gridGraphics,0.5-1
gridSVG,1.7-4
grImport,0.9-5
grImport2,0.2-0
grplasso,0.4-7
grpreg,3.4.0
gsl,2.1-7.1
gss,2.2-3
gstat,2.0-9
gsubfn,0.7
gtable,0.3.0
gtools,3.9.2
Guerry,1.7.4
gWidgets2,1.0-9
hardhat,0.2.0
haven,2.5.0
hdf5r,1.3.5
hdi,0.1-9
hdrcde,3.4
heatmaply,1.3.0
heplots,1.3-9
here,1.0.1
hexbin,1.28.2
hexView,0.3-4
highlight,0.5.0
highr,0.9
hipread,0.2.2
HKprocess,0.0-2
Hmisc,4.7-0
HMM,1.0.1
hms,1.1.1
hoardr,0.5.2
howmany,0.3-1
HSAUR,1.3-10
HSAUR2,1.1-19
htmlTable,2.4.0
htmltools,0.5.2
htmlwidgets,1.5.4
httpcode,0.3.0
httpuv,1.6.5
httr,1.4.3
huge,1.3.5
hunspell,3.0.1
hwriter,1.3.2.1
ibdreg,0.3.6
ica,1.0-2
ICS,1.3-1
ICSNP,1.1-1
IDPmisc,1.1.20
ids,1.0.1
igraph,1.3.1
igraphdata,1.0.1
import,1.2.0
ineq,0.2-13
infer,1.0.0
influenceR,0.1.0.1
infotheo,1.2.0.1
ini,0.3.1
inline,0.3.19
insight,0.17.0
intergraph,2.0-2
interp,1.1-1
intervals,0.15.2
inum,1.0-4
invgamma,1.1
ipred,0.9-12
ipumsr,0.4.5
IRdisplay,1.1
IRkernel,1.3
irlba,2.3.5
isa2,0.3.5
isdparser,0.4.0
ismev,1.42
Iso,0.0-18.1
isoband,0.2.5
ISOcodes,2022.01.10
ISwR,2.0-8
iterators,1.0.14
itertools,0.1-3
janitor,2.1.0
JavaGD,0.6-4
JGR,1.9-1
jomo,2.7-3
jose,1.2.0
jpeg,0.1-9
jqr,1.2.3
jquerylib,0.1.4
jsonify,1.2.1
jsonlite,1.8.0
jsonvalidate,1.3.2
JuliaCall,0.17.4
kableExtra,1.3.4
Kendall,2.2.1
keras,2.8.0
KernelKnn,1.1.4
kernlab,0.9-30
KernSmooth,2.23-20
keyring,1.3.0
KFAS,1.4.6
kimisc,0.4
kinship2,1.8.5
klaR,1.7-0
kmi,0.5.5
KMsurv,0.1-5
knitr,1.39
knockoff,0.3.5
ks,1.13.5
kza,4.1.0.1
l2boost,1.0.3
labeling,0.4.2
labelled,2.9.1
laeken,0.5.2
LaF,0.8.4
Lahman,10.0-1
lambda.r,1.2.4
lars,1.3
lasso2,1.2-22
latentnet,2.10.5
later,1.3.0
latex2exp,0.9.4
lattice,0.20-45
latticeExtra,0.6-29
lava,1.6.10
lavaan,0.6-11
lazyeval,0.2.2
lbfgs,1.2.1
lbfgsb3c,2020-3.2
leaflet,2.1.1
leaflet.providers,1.9.0
leafpop,0.1.0
leaps,3.1
LearnBayes,2.15.1
learnr,0.10.1
leiden,0.4.2
lfe,2.8-8
lgr,0.4.3
lhs,1.1.5
libcoin,1.0-9
LiblineaR,2.10-12
lifecycle,1.0.1
limSolve,1.5.6
linprog,0.9-4
lintr,2.0.1
listenv,0.8.0
listviewer,3.0.0
littler,0.3.15
lle,1.1
lme4,1.1-29
lmodel2,1.7-3
lmom,2.8
Lmoments,1.3-1
lmtest,0.9-40
loa,0.2.47.1
lobstr,1.1.1
locfdr,1.1-8
locfit,1.5-9.5
locpol,0.7-0
loder,0.2.0
loe,1.1
logcondens,2.1.6
LogicReg,1.6.4
logspline,2.1.17
lokern,1.1-9
longitudinal,1.1.13
longmemo,1.1-2
loo,2.5.1
LowRankQP,1.0.5
lpSolve,5.6.15
lpSolveAPI,5.5.2.0-17.7
lsmeans,2.30-0
lubridate,1.8.0
lwgeom,0.2-8
magic,1.6-0
magrittr,2.0.3
mail,1.0
mailR,0.8
manipulate,1.0.1
manipulateWidget,0.11.1
mapdata,2.3.0
mapproj,1.2.8
maps,3.4.0
maptools,1.1-4
markdown,1.1
MASS,7.3-57
Matching,4.10-2
MatchIt,4.3.4
matconv,0.4.2
mathjaxr,1.6-0
Matrix,1.4-1
matrixcalc,1.0-5
MatrixExtra,0.1.9-1
MatrixModels,0.5-0
matrixStats,0.62.0
maxLik,1.5-2
MBCluster.Seq,1.0
MBESS,4.9.0
mboost,2.9-7
mc2d,0.1-21
mclust,5.4.9
mcmc,0.9-7
MCMCpack,1.6-3
MCPAN,1.1-21
mda,0.5-3
measurements,1.4.0
measures,0.3
memoise,2.0.1
MEMSS,0.9-3
metadat,1.2-0
metafor,3.4-0
mets,1.2.9
mgcv,1.8-40
mi,1.0
mice,3.14.0
miceadds,3.12-26
microbenchmark,1.4.9
mime,0.12
miniUI,0.1.1.1
minpack.lm,1.2-2
minqa,1.2.4
mirt,1.36.1
misc3d,0.9-1
miscTools,0.6-26
missForest,1.5
missMDA,1.18
missRanger,2.1.3
mitml,0.4-3
mitools,2.4
mix,1.0-10
mixsqp,0.3-43
mixtools,1.2.0
mlapi,0.1.1
mlbench,2.1-3
MLmetrics,1.1.1
mlmRev,1.0-8
mlogit,1.1-1
mlt,1.4-1
MM,1.6-6
mmand,1.6.1
mnormt,2.0.2
mockery,0.4.3
mockr,0.2.0
modeest,2.4.0
modeldata,0.1.1
ModelMetrics,1.2.2.2
modelr,0.1.8
modeltools,0.2-23
moments,0.14.1
mondate,0.10.02
mosaic,1.8.3
mosaicCore,0.9.0
mosaicData,0.20.2
mosaicModel,0.3.0
MPV,1.57
mratios,1.4.2
msm,1.6.9
mstate,0.3.2
muhaz,1.2.6.4
multcomp,1.4-19
multicool,0.1-12
multiwayvcov,1.2.3
MuMIn,1.46.0
munsell,0.5.0
mvtnorm,1.1-3
NADA,1.6-1.1
nanotime,0.3.6
ncdf4,1.19
ncvreg,3.13.0
neighbr,1.0.3
netrankr,1.1.1
NetSwan,0.1
network,1.17.1
networkD3,0.4
networkDynamic,0.11.2
neuralnet,1.44.2
NHANES,2.1.0
NISTunits,1.0.1
NlcOptim,0.6
nleqslv,3.3.2
nlme,3.1-157
nloptr,2.0.1
NLP,0.2-1
nnet,7.3-17
nnls,1.4
nonnest2,0.5-5
nor1mix,1.3-0
nortest,1.0-4
np,0.60-11
numbers,0.8-2
numDeriv,2016.8-1.1
nycflights13,1.0.2
oaqc,1.0
Oarray,1.4-9
odbc,1.3.3
officer,0.4.2
OpenImageR,1.2.1
OpenMx,2.20.6
openssl,2.0.0
OpenStreetMap,0.3.4
openxlsx,4.2.5
optextras,2019-12.4
optimParallel,1.0-2
optimx,2021-10.12
optmatch,0.10.0
optparse,1.7.1
orcutt,2.3
ordinal,2019.12-10
ore,1.7.1.1
orientlib,0.10.4
oro.nifti,0.11.0
orthogonalsplinebasis,0.1.6
orthopolynom,1.0-6
oz,1.0-21
packrat,0.7.0
pagedown,0.18
palmerpenguins,0.1.0
pamr,1.56.1
pan,1.6
pander,0.6.5
ParallelLogger,3.0.0
parallelly,1.31.1
parallelMap,1.5.1
ParamHelpers,1.14
parmigene,1.1.0
parsedate,1.3.0
parsnip,0.2.1
partitions,1.10-4
partools,1.1.6
party,1.3-10
partykit,1.2-15
pastecs,1.3.21
PASWR,1.1
patchwork,1.1.1
pbapply,1.5-0
pbdMPI,0.4-4
pbdSLAP,0.3-2
pbdZMQ,0.3-7
pbivnorm,0.6.0
pbkrtest,0.5.1
PBSmapping,2.73.0
pcaPP,2.0-1
pcse,1.9.1.1
pder,1.0-2
pdfCluster,1.0-3
pdist,1.2.1
penalized,0.9-52
PerformanceAnalytics,2.0.4
perm,1.0-0.2
permute,0.9-7
perry,0.3.1
pglm,0.2-3
phylobase,0.8.10
pillar,1.7.0
pingr,2.0.1
pixmap,0.4-12
pkgbuild,1.3.1
pkgcache,2.0.1
pkgconfig,2.0.3
pkgdepends,0.3.1
pkgdown,2.0.3
pkgKitten,0.2.2
pkgload,1.2.4
pkgmaker,0.32.2
PKPDmodels,0.3.2
plm,2.6-1
plogr,0.2.0
plot3D,1.4
plotly,4.10.0
plotlyGeoAssets,0.0.2
plotmo,3.6.1
plotrix,3.8-2
pls,2.8-0
plus,1.0
plyr,1.8.7
PMA,1.2.1
pmml,2.5.2
png,0.1-7
poLCA,1.6.0.1
polspline,1.1.20
polyclip,1.10-0
polycor,0.8-1
polynom,1.4-1
PolynomF,2.0-5
polyreg,0.8.0
popEpi,0.4.9
posterior,1.2.1
prabclus,2.3-2
pracma,2.3.8
praise,1.0.0
pre,1.0.4
prefmod,0.8-34
prettycode,1.1.0
prettydoc,0.4.1
prettyunits,1.1.1
prim,1.0.20
princurve,2.1.6
printr,0.2
pROC,1.18.0
processx,3.5.3
prodlim,2019.11.13
prof.tree,0.1.0
profileModel,0.6.1
profmem,0.6.0
proftools,0.99-3
profvis,0.3.7
progress,1.2.2
progressr,0.10.0
projpred,2.1.1
promises,1.2.0.1
proto,1.0.0
protolite,2.1.1
proxy,0.4-26
pryr,0.1.5
ps,1.7.0
pscl,1.5.5
pso,1.0.4
psych,2.2.3
psychotools,0.7-1
psychotree,0.16-0
psychTools,2.2.3
purrr,0.3.4
pvclust,2.2-0
qap,0.1-1
qpdf,1.1
quadprog,1.5-8
quantmod,0.4.20
quantreg,5.93
quarto,1.2
questionr,0.7.7
qvcalc,1.0.2
R.cache,0.15.0
R.devices,2.17.0
R.filesets,2.14.0
R.huge,0.9.0
R.matlab,3.6.2
R.methodsS3,1.8.1
R.oo,1.24.0
R.rsp,0.44.0
R.utils,2.11.0
R2BayesX,1.1-1.1
r2d3,0.2.6
R2HTML,2.3.2
R2jags,0.7-1
R2SWF,0.9-7
R2WinBUGS,2.1-21
R6,2.5.1
ragg,1.2.2
rainbow,3.6
ramcmc,0.1.2
RandomFieldsUtils,1.2.5
randomForest,4.7-1
randomForestSRC,3.1.0
ranger,0.13.1
RANN,2.6.1
rapidjsonr,1.2.0
rappdirs,0.3.3
rARPACK,0.11-0
raster,3.5-15
rasterVis,0.51.2
rbenchmark,1.0.0
rbibutils,2.2.8
rbounds,2.2
Rcgmin,2013-2.21
rcmdcheck,1.4.0
Rcmdr,2.7-2
RcmdrMisc,2.7-2
RColorBrewer,1.1-3
Rcpp,1.0.8.3
RcppAnnoy,0.0.19
RcppArmadillo,0.11.0.0.0
RcppCCTZ,0.2.10
RcppDate,0.0.3
RcppEigen,0.3.3.9.2
RcppGSL,0.3.11
RcppParallel,5.1.5
RcppProgress,0.4.2
RcppRoll,0.3.0
RcppTOML,0.1.7
RcppZiggurat,0.1.6
Rcsdp,0.1.57.2
RCurl,1.98-1.6
Rdpack,2.3
Rdsdp,1.0.5.1
reactlog,1.1.0
readODS,1.7.0
readr,2.1.2
readstata13,0.10.0
readxl,1.4.0
recipes,0.2.0
RefManageR,1.3.0
registry,0.5-1
regtools,1.7.0
relations,0.6-12
relimp,1.0-5
rematch,1.0.1
rematch2,2.1.2
remotes,2.4.2
renv,0.15.4
reportr,1.3.0
repr,1.1.4
reprex,2.0.1
repurrrsive,1.0.0
reshape,0.8.9
reshape2,1.4.4
reticulate,1.24
rex,1.2.1
Rfast,2.0.6
rgdal,1.5-32
rgenoud,5.9-0.3
rgeos,0.5-9
rgexf,0.16.2
rgl,0.108.3
Rglpk,0.6-4
RgoogleMaps,1.4.5.3
RGraphics,3.0-2
RH2,0.2.4
RhpcBLASctl,0.21-247.1
rhub,1.1.1
rio,0.5.29
RItools,0.1-18
rjags,4-13
rJava,1.0-6
RJDBC,0.2-10
rje,1.10.16
rjson,0.2.21
RJSONIO,1.3-1.6
Rlab,4.0
rlang,1.0.2
rle,0.9.2
rlecuyer,0.3-5
rlemon,0.2.0
Rmalschains,0.2-7
rmapshaper,0.4.5
RMariaDB,1.2.1
rmarkdown,2.14
rmatio,0.16.0
rmeta,3.0
Rmpfr,0.8-7
Rmpi,0.6-9.2
rms,6.3-0
RMTstat,0.3.1
rmutil,1.1.9
RMySQL,0.10.23
rnaturalearth,0.1.0
rncl,0.8.6
RNeXML,2.4.6
rngtools,1.5.2
RNifti,1.4.0
rnoaa,1.3.8
ROAuth,0.9.6
robCompositions,2.3.1
robfilter,4.1.2
robust,0.7-0
robustbase,0.95-0
robustHD,0.7.2
ROCR,1.0-11
RODBC,1.3-19
Rook,1.1-1
rootSolve,1.8.2.3
roxygen2,7.1.2
rpart,4.1.16
rpart.plot,3.1.0
rpf,1.0.11
RPMG,2.2-3
RPostgres,1.4.4
RPostgreSQL,0.7-3
rprintf,0.2.1
rprojroot,2.0.3
rrcov,1.7-0
rsample,0.1.1
rsconnect,0.8.27
RSEIS,4.0-3
RSiena,1.3.0.1
Rsolnp,1.16
rsparse,0.5.0
RSpectra,0.16-1
RSQLite,2.2.14
rstan,2.21.5
rstanarm,2.21.3
rstantools,2.2.0
rstudioapi,0.13
rsvd,1.0.5
Rsymphony,0.1-33
rticles,0.23
Rtsne,0.16
rugarch,1.4-8
RUnit,0.4.32
rv,2.3.5
rversions,2.1.1
rvest,1.0.2
Rvmmin,2018-4.17.1
Rwave,2.6-0
RWeka,0.4-44
RWekajars,3.9.3-2
rworldmap,1.3-6
rworldxtra,1.01
Ryacas,1.1.3.1
rzmq,0.9.8
s2,1.0.7
sampleSelection,1.2-12
sampling,2.9
sandwich,3.0-1
sass,0.4.1
satellite,1.0.4
scagnostics,0.2-6
scales,1.2.0
scalreg,1.0.1
scattermore,0.8
scatterplot3d,0.3-41
scico,1.3.0
SciViews,0.9-13.1
sctransform,0.3.3
sda,1.3.8
sde,2.0.15
segmented,1.5-0
SEL,1.0-3
selectr,0.4-2
sem,3.1-15
SemiPar,1.0-4.2
semTools,0.5-5
sendmailR,1.2-1
seqinr,4.2-8
seriation,1.3.5
servr,0.24
sessioninfo,1.2.2
setRNG,2022.4-1
sets,1.0-21
settings,0.2.7
Seurat,4.1.1
SeuratObject,4.1.0
sf,1.0-7
sfheaders,0.4.0
sfsmisc,1.1-13
SGL,1.3
shades,1.4.0
shape,1.4.6
shapefiles,0.7
shapes,1.2.6
shiny,1.7.1
shinyAce,0.4.2
shinydashboard,0.7.2
shinyjqui,0.4.1
shinyjs,2.1.0
shinystan,2.6.0
shinytest,1.5.1
shinythemes,1.2.0
showimage,1.0.0
showtext,0.9-5
showtextdb,3.0
signal,0.7-7
Sim.DiffProc,4.8
SimComp,3.3
SIS,0.8-8
sitmo,2.0.2
sjlabelled,1.2.0
SkewHyperbolic,0.4-0
skewt,1.0
skmeans,0.2-14
slam,0.1-50
slider,0.2.2
sm,2.2-5.7
sn,2.0.2
sna,2.6
snakecase,0.11.0
snow,0.4-4
SnowballC,0.7.0
snowfall,1.84-6.1
snowFT,1.6-0
sodium,1.2.0
softImpute,1.4-1
som,0.3-5.1
soma,1.2.0
sourcetools,0.1.7
sp,1.4-7
spacetime,1.2-6
spam,2.8-0
spam64,2.8-0
sparcl,1.0.4
sparkline,2.0
sparklyr,1.7.5
SparseM,1.81
spatial,7.3-15
spatialreg,1.2-3
spatialwidget,0.2.3
spatstat,2.3-4
spatstat.core,2.4-2
spatstat.data,2.2-0
spatstat.geom,2.4-0
spatstat.linnet,2.3-2
spatstat.random,2.2-0
spatstat.sparse,2.1-1
spatstat.utils,2.3-1
spd,2.0-1
spData,2.0.1
spdep,1.2-4
spectralGP,1.3.3
speedglm,0.3-4
spelling,2.2
splancs,2.01-43
splm,1.5-3
spls,2.2-3
splus2R,1.3-3
spray,1.0-19
sqldf,0.4-11
SqlRender,1.9.0
SQUAREM,2021.1
stable,1.1.6
stabledist,0.7-1
stabs,0.6-4
StanHeaders,2.21.0-7
stargazer,5.2.3
stars,0.5-5
startupmsg,0.9.6
statip,0.2.3
statmod,1.4.36
statnet.common,4.6.0
stepPlr,0.93
storr,1.2.5
stringi,1.7.6
stringr,1.4.0
strucchange,1.5-2
styler,1.7.0
subplex,1.8
subselect,0.15.2
SuperLearner,2.0-28
superpc,1.12
SuppDists,1.1-9.7
survey,4.1-1
survival,3.3-1
survPresmooth,1.1-11
svd,0.5.1
svglite,2.1.0
svGUI,1.0.1
svUnit,1.0.6
swirl,2.4.5
SwissAir,1.1.5
synchronicity,1.3.5
Synth,1.1-5
sys,3.4
sysfonts,0.8.8
systemfit,1.1-24
systemfonts,1.0.4
tables,0.9.6
tcltk2,1.2-11
tclust,1.5-1
TeachingDemos,2.12
tensor,1.5
tensorA,0.36.2
tensorflow,2.8.0
tergm,4.0.2
terra,1.5-21
testit,0.13
testthat,3.1.4
text2vec,0.6.1
textshaping,0.3.6
tfautograph,0.3.2
tfdatasets,2.7.0
tfestimators,1.9.2
TFisher,0.2.0
tfruns,1.5.0
TH.data,1.1-1
threejs,0.3.3
tibble,3.1.7
tidygraph,1.2.1
tidymodels,0.2.0
tidyr,1.2.0
tidyselect,1.1.2
tidyverse,1.3.1
tiff,0.1-11
tikzDevice,0.12.3.1
timeDate,3043.102
timereg,2.0.2
timeSeries,3062.100
timsac,1.3.6
tinytest,1.3.1
tinytex,0.38
tis,1.39
tkrplot,0.0-26
tm,0.7-8
TMB,1.8.1
tmle,1.5.0.2
tmvnsim,1.0-2
tmvtnorm,1.5
tourr,0.6.0
tram,0.7-0
tree,1.0-41
triebeard,0.3.0
trimcluster,0.1-5
tripack,1.3-9.1
truncdist,1.0-2
truncnorm,1.0-8
truncreg,0.2-5
trust,0.1-8
tseries,0.10-51
tsne,0.1-3.1
TSP,1.2-0
TTR,0.24.3
tufte,0.12
tune,0.2.0
tuneR,1.4.0
tweedie,2.3.3
tweenr,1.0.2
twitteR,1.1.9
tzdb,0.3.0
ucminf,1.1-4
udunits2,0.13.2.1
umap,0.2.8.0
uniReg,1.1
unitizer,1.4.18
units,0.8-0
unix,1.5.4
unmarked,1.2.3
urca,1.3-0
urltools,1.7.3
uroot,2.1-2
usethis,2.1.5
utf8,1.2.2
uuid,1.1-0
uwot,0.1.11
V8,4.1.0
variables,1.1-1
varImp,0.4
vars,1.5-6
vcd,1.4-9
vctrs,0.4.1
vdiffr,1.0.4
vegan,2.6-2
VennDiagram,1.7.3
VGAM,1.1-6
VGAMdata,1.1-6
VIM,6.1.1
viridis,0.6.2
viridisLite,0.4.0
visNetwork,2.1.0
vroom,1.5.7
waldo,0.4.0
warp,0.2.0
wavelets,0.3-0.2
waveslim,1.8.2
wavethresh,4.6.9
webdriver,1.0.6
webshot,0.5.3
websocket,1.4.1
webutils,1.1
wesanderson,0.3.6
whisker,0.4
whoami,1.3.0
withr,2.5.0
wk,0.6.0
workflows,0.2.6
workflowsets,0.2.1
xaringan,0.24
xergm.common,1.7.8
xfun,0.30
xgboost,1.6.0.1
XLConnect,1.0.5
xlsx,0.6.5
xlsxjars,0.6.1
XML,3.99-0.9
xml2,1.3.3
xmlparsedata,1.0.5
